Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	jake19	0:00:08	29:41.5	0:00:08	chat	2013-03-13 13:29:41.479 - penguinoidhung -> tell us when we only have 5 min left	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	penguinoidhung	0:0:-8	29:33.3		Geogebra:Topic 5	2013-03-13 13:29:33.337 - Dfonseca69 -> tool changed to Line through Two Points	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:08	29:41.6		Geogebra:Topic 5	2013-03-13 13:29:41.626 - Dfonseca69 -> tool changed to Segment between Two Points	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:05	29:46.7		Geogebra:Topic 5	2013-03-13 13:29:46.656 - Dfonseca69 -> added segment a	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	Dfonseca69	0:00:09	29:56.5	0:00:09	chat	2013-03-13 13:29:56.538 - arrenn429 -> okay but you guys have to hurry	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	arrenn429	0:0:-2	29:53.7		Geogebra:Topic 5	2013-03-13 13:29:53.748 - Dfonseca69 -> added point:Point C	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:00	29:54.1		Geogebra:Topic 5	2013-03-13 13:29:54.140 - Dfonseca69 -> added segment b	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:02	29:56.6		Geogebra:Topic 5	2013-03-13 13:29:56.606 - Dfonseca69 -> tool changed to Move	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	Dfonseca69	0:00:08	30:06.6	0:00:08	awareness	2013-03-13 13:30:06.581 - penguinoidhung -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	penguinoidhung	0:0:-1	30:05.4		Geogebra:Topic 5	2013-03-13 13:30:05.438 - Dfonseca69 -> updated Point A	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:02	30:08.2		Geogebra:Topic 5	2013-03-13 13:30:08.156 - Dfonseca69 -> updated Point B	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:00	30:14.4	0:00:00	awareness	2013-03-13 13:30:14.369 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:09	30:24.5	0:00:09	chat	2013-03-13 13:30:24.531 - jake19 -> david wat step you on	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:00:08	30:27.4	0:00:08	chat	2013-03-13 13:30:27.365 - Dfonseca69 -> ok im done with four'	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:36	31:08.9	0:00:36	chat	2013-03-13 13:31:08.864 - jake19 -> okay: what was the difference between moving point a and point b both before and after they were part of a line segment	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	jake19	0:00:00	30:35.6	0:00:00	awareness	2013-03-13 13:30:35.619 - penguinoidhung -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	penguinoidhung	0:00:00	30:36.1	0:00:00	chat	2013-03-13 13:30:36.135 - penguinoidhung -> 4	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	penguinoidhung	0:00:04	30:43.5	0:00:04	chat	2013-03-13 13:30:43.470 - penguinoidhung -> Jake he on 4	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	penguinoidhung	0:0:-3	30:40.0		Geogebra:Topic 5	2013-03-13 13:30:40.032 - Dfonseca69 -> updated Point A	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	nicolas1699	Dfonseca69	0:00:10	31:00.9	0:00:10	chat	2013-03-13 13:31:00.864 - nicolas1699 -> Facilitator turn	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	nicolas1699	0:00:09	31:03.1	0:00:09	chat	2013-03-13 13:31:03.072 - Dfonseca69 -> Facilitator go	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	nicolas1699	Dfonseca69	0:00:56	32:11.1	0:00:56	chat	2013-03-13 13:32:11.136 - nicolas1699 -> What was the difference between moving point a and point b both before and after they were part of a line segment?	
